,kaggle_id,title,keywords
83,188588,Last Summer in the Hamptons,
84,8447,Angels and Insects,"class society, rich woman - poor man, scientist, naturalist, insect"
85,10534,White Squall,"sailing trip, diary, sailing, survival, coming of age, teenage boy, discipline, squall, sail, ship captain, caribbean, male bonding, seasickness, storm at sea, 1960s"
86,17414,Dunston Checks In,"boss, fistfight, bully, orangutan, hotel manager"
87,13997,Black Sheep,"nitrous oxide, candid camera, double act, political satire, crooked politician, woman director"
88,2086,Nick of Time,"assassination, train station, politics, los angeles"
89,61548,The Journey of August King,
90,9095,Mary Reilly,"servant, monster, laboratory, jekyll and hyde, housemaid, 19th century"
91,12158,Vampire in Brooklyn,"vampire, half vampire"
92,9283,Beautiful Girls,hometown
93,9208,Broken Arrow,"helicopter, river, captain, underground, mexican standoff, countdown, pilot, fistfight, canyon, major, betrayal, gunfight, train, explosion, park ranger, desert, military, nuclear device, boxing, stealth aircraft, abandoned mine, humvee"
94,40154,A Midwinter's Tale,"play, hamlet, christmas, actor"
95,406,La Haine,"paris, neo-nazi, skinhead, robbery, police brutality, hip-hop, gun, socially deprived family, breakdance, arabian, boredom, revenge, suburb, violence, police officer, unemployment, capture, xenophobia"
96,45549,Shopping,
97,63076,Heidi Fleiss: Hollywood Madam,"narration, hollywood, prostitution"
98,11062,City Hall,"corruption, undercover, war on drugs, mayor, drug dealer, presidential election, undercover agent, investigation, police, drug"
99,13685,Bottle Rocket,"brother brother relationship, robbery, burglar, language barrier, motel, independent film, psychiatric hospital, maid, theft, nervous breakdown, escapade, laundry room"
100,47475,Mr. Wrong,
101,2045,Unforgettable,"wife husband relationship, experiment, police, murder, suspense, memory, forensic, gunman, animal experimentation"
102,9614,Happy Gilmore,"loss of mother, loss of father, golf, sport, taxes"
103,688,The Bridges of Madison County,"farewell, adultery, love at first sight, photographer, wife husband relationship, iowa, love of one's life, mother role, bridge, housewife, love letter, peasant, marriage crisis, photography, unsociability, secret love, nature documentary"
104,11907,Nobody Loves Me,"prophecy, voodoo, single, falling in love, woman director, rich man"
105,10874,Muppet Treasure Island,"island, pirate gang, puppet, treasure hunt"
106,89333,Catwalk,
107,96357,Headless Body in Topless Bar,ex-con
108,197,Braveheart,"individual, scotland, in love with enemy, legend, independence, idealism, revolt, tyranny"
109,103,Taxi Driver,"vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner"
110,33542,Rumble in the Bronx,"new york, martial arts, supermarket, gang war, disabled child, gang, wedding, diamond, bronx, duringcreditsstinger"
111,43566,Before and After,
112,71754,Margaret's Museum,"mining, dance lesson, coal mining, bagpipes"
113,43612,Happiness Is in the Field,"best friend, twins, country, identity swap, woman director"
114,51352,Anne Frank Remembered,"fascism, auschwitz, typhus, victim, interview, prejudice, burglary, rabbit"
115,16934,The Young Poisoner's Handbook,"london england, poison, based on true story, murder, serial killer, mental institution, teenager, psychiatrist, stepmother, social misfit"
116,10324,If Lucy Fell,"roommate, single, love, independent film, best friend, brooklyn bridge"
117,78406,Steal Big Steal Little,"brother brother relationship, twin brother, lawyer, estate, santa barbara california"
118,55731,Race the Sun,"hawaii, australia, teacher, car, solar power"
119,32119,The Boys of St. Vincent,
120,11066,Boomerang,"role of women, ladykiller, success, ladies' man, chefin, casanova, womanizer"
121,11104,Chungking Express,"ex-girlfriend, drug smuggle, girlfriend, snack bar, romance, hong kong, pineapple, expiration date, flight attendant"
122,37975,The Star Maker,
123,2074,Flirting with Disaster,"lsd, looking for  birth parents, half-brother, independent film"
124,27793,The Neverending Story III: Escape from Fantasia,"flying, magic"
125,44284,The Silences of the Palace,woman director
126,290157,Jupiter's Wife,
127,110972,Pie in the Sky,
128,32622,Angela,"independent film, woman director"
129,73067,Frankie Starlight,"boy, writer, ireland, flashback, troop ship"
130,11863,Jade,"callgirl, san francisco, investigation, murder"
131,55475,Nueba Yol,"new york, emigration, dominican republic"
132,124636,Sonic Outlaws,
133,9101,Down Periscope,"submarine, u.s. navy, misfit"
134,123360,From the Journals of Jean Seberg,biography
135,5757,Man of the Year,"homosexuality, independent film, mockumentary"
136,39428,The Neon Bible,"southern usa, based on novel, singer, south"
137,124639,Target,
138,9302,Up Close & Personal,"skab under tv, foran, nederste hylde"
139,11000,The Birdcage,"gay, drag queen, homophobia, florida, coming out, senator, politician, lgbt, crossdressing, 1990s"
140,249882,Virgin Mary,"mountain, miracle, apparition, communism, virgin mary"
141,16388,The Brothers McMullen,"love, independent film, best friend, true love, irish catholic"
142,9737,Bad Boys,"miami, detective, handcuffs, airport, mexican standoff, strip club, witness protection, car crash, internal affairs, gunfight, explosion, brutality, foot chase, car chase, drug lord, hangar, loose cannon, bust, reference to skittles, black cop, badge, action hero, corrupt cop"
143,30765,The Amazing Panda Adventure,"china, panda, poacher"
144,10474,The Basketball Diaries,"sport, basketball, addiction, friends, drug"
145,22279,An Awfully Big Adventure,"england, based on novel, liverpool, theatre company, 1940s"
146,30157,Amateur,independent film
147,568,Apollo 13,"moon, florida, nasa, spaceman, race against time, houston, based on true story, space, rescue, survival, disaster, explosion, astronaut, imax, saturn v rocket, courage, hypothermia, apollo program, cape kennedy, lunar mission, spacecraft accident"
148,11780,Rob Roy,"scotland, biography, 18th century, highlands, violent man"
149,34996,The Addiction,"new york, philosophy, vampire, blood, student, violence"
150,414,Batman Forever,"riddle, dc comics, rose, gotham city, partner, superhero, robin, broken neck, psychologist, violence, criminal, district attorney, millionaire, falling down stairs, tied up, tommy gun, beretta, knocked out, super powers, disfigurement, father figure"
151,649,Belle de Jour,"prostitute, adultery, double life, dual identity, jealousy, wife husband relationship, brothel, dream, women's sexual identity, fantasy, masochism, independent film"
152,1873,Beyond Rangoon,"burma, rangoon, doctor"
153,5894,Blue in the Face,"smoking, corner shop, cigarette, tobacco, cigar, independent film"
154,1775,Canadian Bacon,
155,8839,Casper,"halloween, friendship, supernatural, afterlife, friends, danger, ghost, disorder, young heroes, imaginary, supernatural ability, mischievous children"
156,20649,Clockers,"drug pusher, train, drug, drug lord"
157,10329,Congo,"gorilla, kongo, diamond mine, diamond"
158,8963,Crimson Tide,"submarine, mutiny, russia, missile, nuclear missile, embassy, u.s. navy, battle for power, torpedo, military, moral dilemma, post cold war, aircraft carrier, chain of command, launch code, sonar"
159,26564,Crumb,"underground, biography, art"
160,8068,Desperado,"gunslinger, anti terror, ambush, mexico, showdown, guitar, nudity, hitman, bartender, revenge, tragic hero, shootout, mariachi, explosion, extreme violence, brutality, drug lord, leg brace, concealed weapon, flashback, bookstore"
161,8512,Devil in a Blue Dress,"jazz club, murder, los angeles, private detective, film noir, neo-noir"
162,1572,Die Hard: With a Vengeance,"bomb, taxi, riddle, robbery, detective, helicopter, gold, subway, ship, fistfight, police, sequel, deception, shootout, new york city, explosion, violence, car chase, fbi agent, simon says, flashback, dump truck, aqueduct, action hero, federal reserve bank"
163,13552,The Doom Generation,"sex, eroticism, nudity, nazis, suspense, drifter, voyeur"
164,259209,Feast of July,
165,6520,First Knight,"camelot, knight, king arthur, excalibur, knights of the round table"
166,9073,Free Willy 2 - The Adventure Home,"human animal relationship, whale, killer whale"
167,10428,Hackers,"female nudity, hacker, nudity, computer virus, virtual reality, computer, sexual fantasy, prank, internet, cyberpunk, teenager, new york city, secret service, computer hacker, dream sequence"
168,17447,Jeffrey,"gay, aids, based on play or musical, hiv positive"
169,9886,Johnny Mnemonic,"brain, childhood memory, dystopia, pharmaceutical industry, computer chip, courier, cyber, cyberpunk"
170,9482,Judge Dredd,"judge, post-apocalyptic, dystopia, based on comic, police officer, based on graphic novel, frame up, dystopic future, framed for murder, gene, prosthetic limb, post holocaust, dna testing, dredd, 2000 ad"
171,19326,Jury Duty,"stripper, jury, jurist, independent film, jury duty, verdict"
172,9344,Kids,"puberty, first time"
173,9071,Living in Oblivion,"cinema, independent film, filmmaker"
174,8973,Lord of Illusions,"fanatic, supernatural, wizardry, resurrection, sect, occultism"
175,15730,Love & Human Remains,
176,47608,Mad Love,"suicide attempt, college, teen angst, mental illness, woman director"
177,2293,Mallrats,"sex, game show, slacker, shopping, mall, ex-boyfriend ex-girlfriend relationship, jay and silent bob, silent man, coke, bandleader, aftercreditsstinger"
178,9070,Mighty Morphin Power Rangers: The Movie,"based on tv series, tokusatsu, superhero team, ethnic diversity, super sentai, power rangers, mighty morphin power rangers, mmpr"
179,68274,Moonlight and Valentino,"widow, female friendship, grief, death of husband"
180,48787,Mute Witness,"chase, police, murder, mute, disk"
181,34574,Nadja,"new york, vampire, dracula"
182,1642,The Net,"cheating, new identity, computer virus, chase, computer, stalking"
183,11472,Nine Months,"parent child relationship, baby, marriage, pregnancy, child wish"
184,36196,Party Girl,"library, party, independent film, free spirit, woman director, librarian"
185,11980,The Prophecy,"angel, archangel gabriel, menschheit"
186,58372,Reckless,"trauma, game show, female protagonist, christmas"
187,32646,Safe,"sex, chemical, medicine, housewife, pollution, quarantine, independent film, allergy, psychiatrist, illness, disorder, retreat, multiple chemical sensitivity (mcs), environmental illness"
188,10533,The Scarlet Letter,"based on novel, burning of witches, puritan, pregnancy, period drama, extramarital affair"
189,56088,The Show,
190,10802,Showgirls,"dancing, female nudity, go-go dancer, spanner, seduction, striptease, sexappeal"
191,10149,Smoke,"smoking, robber, cigarette, cigar, laden, independent film, writer"
192,18402,Something to Talk About,"horse, savannah, based on true story, family"
193,9348,Species,"telepathy, dna, paranoia, genetics, instinct, femme fatale, alien, on the run, decapitation, sexual attraction, los angeles, cocoon, genetic engineering, scientists, alien dna"
194,139408,The Stars Fell on Henrietta,"restaurant, oil, rural setting"
195,281,Strange Days,"pornography, prostitute, rape, police brutality, dream, ex-girlfriend, future, bodyguard, rapper, virtual reality, dystopia, minidisc, police, ex-cop, murder, cyberpunk, los angeles, violence, criminal, private detective, revolt, woman director"
196,5967,The Umbrellas of Cherbourg,"car mechanic, letter, musical, war, single"
197,79593,The Tie That Binds,
198,47939,Three Wishes,"baseball, drifter, dog, korean war, woman director"
199,36834,Total Eclipse,"mentor, poet, woman director"
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar","transvestism, gay, new york, drag queen, homophobia, travel, road movie, woman director"
201,3512,Under Siege 2: Dark Territory,"terrorist, pentagon, satellite, navy seal, train"
202,52856,Unstrung Heroes,woman director
203,77350,Unzipped,fashion
204,9560,A Walk in the Clouds,"world war ii, vineyard, love, remake, pregnancy, harvest, grape, abandoned woman"
205,9804,Waterworld,"ocean, tattoo, mutant, water, dystopia, doomsday"
206,31611,White Man's Burden,"dystopia, black white relations, alternative universe"
207,65796,Wild Bill,"opium, loss of eyesight, biography, sioux, wild bill hickok, calamity jane"
208,49805,The Browning Version,
209,26258,Bushwhacked,"cave, waterfall, children, mistaken identity, boy scouts leader"
210,50797,Burnt by the Sun,"wife husband relationship, colonel"
211,19155,Before the Rain,"monk, mountain, restaurant, war photographer, christian, fashion photographer, girl, violence, albanian, macedonia"
212,76,Before Sunrise,"dialogue, sunrise, talking, soulmates, walking, austria, traveller, danube, bittersweet, romantic, vienna"
213,11017,Billy Madison,woman director
214,37141,The Babysitter,"alcohol, obsession, babysitter, party, teenager, parents"
215,9382,Boys on the Side,"aids, roommate, homicide, car journey, friendship, friends, homosexuality, escape, road movie"
216,6715,The Cure,mississippi
217,18256,Castle Freak,"castle, voyeurism"
218,22625,Circle of Friends,"forbidden love, moral conflict, independent film"
219,2292,Clerks,"salesclerk, loser, aftercreditsstinger"
220,1909,Don Juan DeMarco,"sex addiction, love, mental institution, patient, psychiatrist, don juan"
221,8984,Disclosure,"employee, workplace, sexual harassment, intrigue"
222,61813,Dream Man,"vision, psychic"
223,4954,Drop Zone,"terrorist, transport of prisoners, airplane, parachuting, suspense"
224,62488,Destiny Turns on the Radio,"heist, expectant father"
225,10531,Death and the Maiden,"married couple, chile, pinochet-regime, revenge, doctor, torture, humiliation"
226,11929,Dolores Claiborne,"child abuse, detective, based on novel, bar, island, suspicion of murder, murder, suspense, dysfunctional family, domestic violence, reporter, maid, anger, alcoholic, accident, abusive father, abusive husband, anti-depressant, bangor-maine, bank account"
227,8467,Dumb and Dumber,"gas station, motel, utah, stupidity, pill, prank, cigar smoking, violence, criminal, fired from the job, clumsiness, stepmother stepdaughter relationship, sitting on a toilet, aspen colorado, parakeet, defecation, scooter, hotel suite, endangered species, foolish, laxative"
228,10451,Eat Drink Man Woman,"cooking, sense of life, daughter, dating, family"
229,20156,Exotica,"secret, nightclub, pet shop, independent film, unhappiness"
230,18395,Exit to Eden,"female nudity, sexuality, island, love, mistress, kinky, smuggler, bdsm"
231,522,Ed Wood,"individual, taxi, transsexuality, fortune teller, film business, film making, film producer, vororte, film maker, boxer, film director, oddball, celebrity, morphine, movie studio, los angeles, drug addict, cult director, theremin, handgun, trick or treating, actor, transvestite"
232,397,French Kiss,"paris, airport, in love with enemy, canadian, necklace, fear of flying, deal, vineyard, smuggling"
233,10525,Forget Paris,"paris, dallas, basketball, crisis, falling in love, referee"
234,27985,Far from Home: The Adventures of Yellow Dog,"wilderness, boy and dog"
235,15789,A Goofy Movie,"father son relationship, pop singer, musical, celebrity, road trip, dead mother, first love, goofy"
236,27303,Hideaway,suspense
237,21183,Fluke,"father son relationship, based on novel, reincarnation, talking dog, car accident, dog, flashback, dog movie"
238,10954,Farinelli,"brother brother relationship, opera, eunuch, biography, dresden, opera singer"
239,47867,Gordy,country music
240,43475,Gumby: The Movie,
241,72031,The Glass Shield,
242,14275,Hoop Dreams,"chicago, sports team, ghetto, narration, college, sport, basketball, high school sports, independent film, inner city, high school student"
243,1024,Heavenly Creatures,"mother, sex, secret, obsession, literature, nudity, fantasy, passion, love, friends, murder, independent film, lesbian, true, relationship"
244,17207,Houseguest,
245,13701,Immortal Beloved,"deafness, sister-in-law, character study, uncle nephew relationship, für elise"
246,14819,Heavyweights,"overweight, summer camp"
247,32631,The Hunted,
248,11777,I.Q.,"wedding vows, mathematician, car mechanic, comet, albert einstein, halley's comet"
249,628,Interview with the Vampire,"paris, san francisco, vampire, plantation, pity, bite, fang vamp"
250,87729,Jefferson in Paris,"france, revolution, biography, president, history"
251,18713,The Jerky Boys,"new york, telephone joke, gangster"
252,6280,Junior,"baby, medicine, media, pregnancy, scientist, science, male pregnancy, fertility, gynaecology, ceasarean birth"
253,9061,Just Cause,"rape, black people, florida, professor, harvard university, innocence, revenge, suspense"
254,37108,A Kid in King Arthur's Court,"time travel, kids, medieval times"
255,6071,Kiss of Death,hoodlum
256,11,Star Wars,"android, galaxy, hermit, death star, lightsaber, jedi, rescue mission, empire, rebellion, planet, smuggler, the force, space opera, galactic war, stormtrooper, totalitarianism"
257,9587,Little Women,"depression, mother daughter relationship, pregnant, desire, chalkboard,  nightgown, louisa may alcott, birth of twins, woman director"
258,19101,A Little Princess,"based on novel, servant, private school, female friendship, boarding school, british, school, little girl, orphan, india, rich poor, father daughter relationship, schoolgirl, presumed dead, attic, imagination, african american servant, fantasy life"
259,49980,Ladybird Ladybird,"love, children, family, social services"
260,17961,L'Enfer,
261,18183,Like Water for Chocolate,"chocolate, jealousy, sister sister relationship, cooking, mexican revolution, marriage, wedding, single mother, recipe, magic realism, new mexican cinema, new latin american cinema"
262,4476,Legends of the Fall,"brother brother relationship, montana, based on novel, world war i, journey round the world"
263,11008,Major Payne,"headquarter, military base, military service, base, major, military spoof, instructor"
264,47504,Little Odessa,"russian mafia, dysfunctional family, brothers"
265,32325,Mi Vida Loca,"east los angeles, gang, los angeles, poverty, gang member, hispanic, mexican american, girl gang, woman director, cholo, chola"
266,43742,Love Affair,"cruise, disabled, empire state building, accident, accident victim"
267,28313,Losing Isaiah,"mother, child abuse, single parent, based on novel, smoking, baby, social work, drug addiction, adoption, liberation, social worker, self-abandonment, court case, custody battle, son, looking for  birth parents, surrogate mother, racist, interracial relationship, extramarital affair"
268,11318,The Madness of King George,"queen, kingdom, biography, victorian england, psychopathy"
269,3036,Mary Shelley's Frankenstein,"human experimentation, frankenstein, remake"
270,40490,Man of the House,
271,24070,Mixed Nuts,"holiday, rollerblades, cross dresser, woman director, suicide hotline, christmas"
272,8986,Milk Money,"prostitute, tree house, red-light disctrict, young people, stripper, make a match, mob boss"
273,10510,Miracle on 34th Street,"holiday, competition, new love, santa claus, department store, miracle, wish, christmas"
274,17402,Miami Rhapsody,
275,38722,My Family,"immigrant, marriage, independent film, family relationships, los angeles, family, death of wife"
276,8438,Murder in the First,"prison, prisoner, death row, alcatraz, lawyer, courtroom, murder trial, 1940s, mistreatment, public defender, prisoner abuse"
277,11593,Nobody's Fool,"illegal employment, retirement, drama"
278,1945,Nell,"loss of mother, loss of sister, twin sister, autism, lake, kaspar-hauser-syndrom, feral child, forest, north carolina, psychologist, family"
279,39310,New Jersey Drive,"new jersey, police, brutality, troubled teen, hiphop, black youths"
280,109560,New York Cop,
281,56428,Beyond Bedlam,"suicide, detective, experiment, hallucination, scientist, drug, killer"
282,63105,Nemesis 2 - Nebula,"cyborg, post-apocalyptic, sequel"
283,131957,Nina Takes a Lover,
284,241,Natural Born Killers,"sadistic, journalist, mass murder, yellow press, trauma, daughter, satire, controversy, controversial, violence, young couple, abuse"
285,9058,Only You,"venice, italy, fortune teller, soulmates, cheating, trip"
286,527,Once Were Warriors,"individual, slum, suicide, tattoo, alcohol, rape, tradition, loss of child, indigenous, despair, violent husband, ghetto, new zealand, maori, strong woman, lack of prospects, maori tradition, funeral, approved school , crush, independent film, teacher, youth gang, domestic violence, violence, rebellious youth, alcohol abuse, incest, unemployment"
287,18220,Poison Ivy II: Lily,"sex, obsession, diary, murder, student, lust, art, woman director, erotic movie"
288,6950,Outbreak,"river, general, research, army, serum, monkey, epidemic, medical research"
289,101,Leon: The Professional,"new york, corruption, assassin, police brutality, loss of family, s.w.a.t., immigrant, hitman, training, revenge, murder, loneliness, neighbor, tragic love, cult film, neo-noir, complex relationship, complex characters"
290,63020,The Perez Family,"immigration, independent film, woman director, political prisoner, cuban refugees"
291,2307,A Pyromaniac's Love Story,"jealousy, burning house, teenage crush, arsonist"
292,680,Pulp Fiction,"transporter, brothel, drug dealer, boxer, massage, stolen money, crime boss, dance contest, junkyard, kamikaze, ambiguous ending, briefcase, redemption, heirloom, pulp fiction, reference to al green, theft, brutality"
293,41478,Panther,black panther
294,25296,Pushing Hands,
295,40156,Priest,"gay, secret, faith, independent film, conservative, girl, church, united kingdom, catholic priest, crisis of faith, woman director, abuse"
296,11450,Quiz Show,"television, tv show, manipulation, manipulation of the media, product placement, investigation, tv ratings, quiz show, fragen, lawyer"
297,30304,Picture Bride,"hawaii, arranged marriage, cultural difference, orphan, older man younger woman relationship, black and white scene, asian american"
298,10452,Queen Margot,"marriage of convenience, konfession, royalty, slaughter"
299,12106,The Quick and the Dead,"gunslinger, revenge, prairie, shootout, pistol"
300,161495,Roommates,"grandfather grandson relationship, roommate, birthday, funeral, vegetarian, orphan, deathbed"
301,3586,Prêt-à-Porter,"paris, hotel room, suspicion of murder, mannequin, fashion photographer, sandwich, poodle, reporter, fashion"
302,110,Three Colors: Red,"judge, isolation, mannequin, shadowing, english channel, geneva, travel, dog"
303,108,Three Colors: Blue,"paris, composer, pain, loss of husband, to compose"
304,109,Three Colors: White,"hairdresser, sexual frustration, funeral, business man, poland"
305,159185,"Red Firecracker, Green Firecracker",
306,36357,Rent-a-Kid,
307,92769,Relative Fear,"therapist, suspicion, serial murder, special education"
308,28033,Stuart Saves His Family,
309,22586,The Swan Princess,"princess, swan"
310,14334,The Secret of Roan Inish,"family relationships, ireland, seal, selkie"
